2018,2019
8.777786594599442438e+00,6.870675147947206796e+00
3.598092978369389527e+01,3.420881786644399369e+01
4.226849587240195660e+01,6.748220092125960434e+01
5.016229129296738165e+01,7.029747919428999126e+01
1.215570862668064045e+01,2.452884211394681557e+01
1.523225740734785205e+01,3.423366627843460464e+01
3.990349211759760806e+01,3.516452839552325571e+01
7.489653065199001958e+01,6.775352652087232741e+01
5.033865464376737009e+01,4.307434346390576962e+01
6.204983921112124534e+01,6.019144825631356355e+01
1.169675276533030228e+01,1.223526112750435146e+01
5.599735965526856596e+00,5.276417576561056144e+00
6.504510422254085711e+00,4.449964182791269707e+00
2.365166697584068500e-01,1.976640953769248643e-01
4.412763831518334845e-01,7.921159567495927867e-01
3.924172651364985853e+01,4.364548134758231868e+01
7.650689004612459598e+01,7.841184310438467264e+01
1.615627620313092905e+02,1.511499654460307909e+02
1.048981943082214485e+02,1.352336714593238867e+02
7.184661439881037381e+01,7.396363217000002521e+01
6.623561494965916552e+01,1.112226703030756028e+02
9.704306505090448809e+01,1.127643459183958612e+02
1.265197732686479668e+02,1.141316085014986754e+02
1.287642694411883895e+02,1.323563426034055226e+02
1.265741106066863040e+02,1.406995355644287713e+02
6.482510655804448163e+01,6.283603635739078186e+01
4.794521402878476124e+01,4.581864713617733997e+01
2.897390879792102680e+01,3.801269517596688274e+01
5.182340411923525458e+00,5.132046477322703915e+00
2.288920452205941425e-01,2.424197744943510091e-01
3.406029612329670186e+01,3.238067965903313450e+01
9.866884180772160562e+01,9.602873757814803923e+01
1.556813304035579506e+02,1.456028449228899149e+02
9.339726352778011176e+01,1.321363745591638690e+02
1.286919025875460534e+02,1.293936187544866527e+02
1.150843481784122702e+02,1.247361038048545083e+02
1.560681877736243166e+02,1.585213248237793664e+02
1.464434764271942413e+02,1.513698142617092515e+02
6.963930618923643578e+01,9.972431901564786472e+01
5.977402747983052933e+01,6.895222699155131352e+01
7.940169277297826511e+01,7.441053667836533236e+01
6.531072948659512178e+01,7.845826221669599931e+01
